,County,State_Name,State,Fipcode,Population,Areaname,STCOU,Land Area 2010,Population Density
0,Autauga,Alabama,AL,1001,55869,"Autauga, AL",1001,594.44,93.98593634344928
1,Baldwin,Alabama,AL,1003,223234,"Baldwin, AL",1003,1589.78,140.4181710676949
2,Barbour,Alabama,AL,1005,24686,"Barbour, AL",1005,884.88,27.897568031823525
3,Bibb,Alabama,AL,1007,22394,"Bibb, AL",1007,622.58,35.969674579973656
4,Blount,Alabama,AL,1009,57826,"Blount, AL",1009,644.78,89.6833028319737
5,Bullock,Alabama,AL,1011,10101,"Bullock, AL",1011,622.81,16.218429376535383
6,Butler,Alabama,AL,1013,19448,"Butler, AL",1013,776.83,25.0350784598947
7,Calhoun,Alabama,AL,1015,113605,"Calhoun, AL",1015,605.87,187.5072210210111
8,Chambers,Alabama,AL,1017,33254,"Chambers, AL",1017,596.53,55.745729468761006
9,Cherokee,Alabama,AL,1019,26196,"Cherokee, AL",1019,553.7,47.31081813256276
10,Chilton,Alabama,AL,1021,44428,"Chilton, AL",1021,692.85,64.12354766543984
11,Choctaw,Alabama,AL,1023,12589,"Choctaw, AL",1023,913.5,13.781061850027367
12,Clarke,Alabama,AL,1025,23622,"Clarke, AL",1025,1238.47,19.07353428020057
13,Clay,Alabama,AL,1027,13235,"Clay, AL",1027,603.96,21.913702894231406
14,Cleburne,Alabama,AL,1029,14910,"Cleburne, AL",1029,560.1,26.62024638457418
15,Coffee,Alabama,AL,1031,52342,"Coffee, AL",1031,678.97,77.09029854043625
16,Colbert,Alabama,AL,1033,55241,"Colbert, AL",1033,592.62,93.21487631197057
17,Conecuh,Alabama,AL,1035,12067,"Conecuh, AL",1035,850.16,14.19379881434083
18,Coosa,Alabama,AL,1037,10663,"Coosa, AL",1037,650.93,16.381177699599036
19,Covington,Alabama,AL,1039,37049,"Covington, AL",1039,1030.46,35.953845855249114
20,Crenshaw,Alabama,AL,1041,13772,"Crenshaw, AL",1041,608.84,22.62006438473162
21,Cullman,Alabama,AL,1043,83768,"Cullman, AL",1043,734.84,113.99488323988895
22,Dale,Alabama,AL,1045,49172,"Dale, AL",1045,561.15,87.62719415486056
23,Dallas,Alabama,AL,1047,37196,"Dallas, AL",1047,978.7,38.00551752324512
24,De Kalb,Alabama,AL,1049,71513,"DeKalb, AL",1049,777.09,92.0266635782213
25,Elmore,Alabama,AL,1051,81209,"Elmore, AL",1051,618.49,131.30204207020324
26,Escambia,Alabama,AL,1053,36633,"Escambia, AL",1053,945.08,38.761797943031276
27,Etowah,Alabama,AL,1055,102268,"Etowah, AL",1055,534.99,191.1587132469766
28,Fayette,Alabama,AL,1057,16302,"Fayette, AL",1057,627.66,25.972660357518404
29,Franklin,Alabama,AL,1059,31362,"Franklin, AL",1059,633.82,49.48092518380612
30,Geneva,Alabama,AL,1061,26271,"Geneva, AL",1061,574.41,45.7356243797984
31,Greene,Alabama,AL,1063,8111,"Greene, AL",1063,647.11,12.534190477662221
32,Hale,Alabama,AL,1065,14651,"Hale, AL",1065,643.94,22.75211976271081
33,Henry,Alabama,AL,1067,17205,"Henry, AL",1067,561.75,30.62750333778371
34,Houston,Alabama,AL,1069,105882,"Houston, AL",1069,579.82,182.61184505536198
35,Jackson,Alabama,AL,1071,51626,"Jackson, AL",1071,1077.87,47.896314026737926
36,Jefferson,Alabama,AL,1073,658573,"Jefferson, AL",1073,1111.28,592.6256209056223
37,Lamar,Alabama,AL,1075,13805,"Lamar, AL",1075,604.85,22.82384062164173
38,Lauderdale,Alabama,AL,1077,92729,"Lauderdale, AL",1077,667.7,138.87823872996853
39,Lawrence,Alabama,AL,1079,32924,"Lawrence, AL",1079,690.68,47.66896391961546
40,Lee,Alabama,AL,1081,164542,"Lee, AL",1081,607.54,270.83319616815356
41,Limestone,Alabama,AL,1083,98915,"Limestone, AL",1083,559.94,176.65285566310675
42,Lowndes,Alabama,AL,1085,9726,"Lowndes, AL",1085,715.91,13.58550655808691
43,Macon,Alabama,AL,1087,18068,"Macon, AL",1087,608.89,29.673668478707157
44,Madison,Alabama,AL,1089,372909,"Madison, AL",1089,801.59,465.21164186179965
45,Marengo,Alabama,AL,1091,18863,"Marengo, AL",1091,976.88,19.309434116779954
46,Marion,Alabama,AL,1093,29709,"Marion, AL",1093,742.29,40.02344097320454
47,Marshall,Alabama,AL,1095,96774,"Marshall, AL",1095,565.84,171.027145482822
48,Mobile,Alabama,AL,1097,413210,"Mobile, AL",1097,1229.44,336.0961087975013
49,Monroe,Alabama,AL,1099,20733,"Monroe, AL",1099,1025.68,20.21390687153888
50,Montgomery,Alabama,AL,1101,226486,"Montgomery, AL",1101,784.25,288.7931144405483
51,Morgan,Alabama,AL,1103,119679,"Morgan, AL",1103,579.34,206.57817516484275
52,Perry,Alabama,AL,1105,8923,"Perry, AL",1105,719.66,12.398910596670651
53,Pickens,Alabama,AL,1107,19930,"Pickens, AL",1107,881.41,22.611497486981087
54,Pike,Alabama,AL,1109,33114,"Pike, AL",1109,672.09,49.27018702852296
55,Randolph,Alabama,AL,1111,22722,"Randolph, AL",1111,580.55,39.13874773921282
56,Russell,Alabama,AL,1113,57961,"Russell, AL",1113,641.14,90.40303209907353
57,St Clair,Alabama,AL,1115,89512,"St. Clair, AL",1115,631.9,141.6553252096851
58,Shelby,Alabama,AL,1117,217702,"Shelby, AL",1117,784.93,277.35212057126114
59,Sumter,Alabama,AL,1119,12427,"Sumter, AL",1119,903.89,13.7483543351514
60,Talladega,Alabama,AL,1121,79978,"Talladega, AL",1121,736.78,108.55072070360217
61,Tallapoosa,Alabama,AL,1123,40367,"Tallapoosa, AL",1123,716.52,56.33757606207782
62,Tuscaloosa,Alabama,AL,1125,209355,"Tuscaloosa, AL",1125,1321.76,158.39108461445346
63,Walker,Alabama,AL,1127,63521,"Walker, AL",1127,791.19,80.28539288919222
64,Washington,Alabama,AL,1129,16326,"Washington, AL",1129,1080.21,15.113727886244341
65,Wilcox,Alabama,AL,1131,10373,"Wilcox, AL",1131,888.5,11.674732695554304
66,Winston,Alabama,AL,1133,23629,"Winston, AL",1133,612.98,38.54775033443179
67,Aleutians East,Alaska,AK,2013,3337,"Aleutians East, AK",2013,6981.94,0.4779473899804353
68,Aleutians West,Alaska,AK,2016,5634,"Aleutians West, AK",2016,4390.28,1.283289448508979
69,Anchorage,Alaska,AK,2020,288000,"Anchorage, AK",2020,1704.68,168.94666447661731
70,Bethel,Alaska,AK,2050,18386,"Bethel, AK",2050,40570.0,0.45319201380330293
71,Bristol Bay,Alaska,AK,2060,836,"Bristol Bay, AK",2060,503.84,1.6592569069545888
72,Denali,Alaska,AK,2068,2097,"Denali, AK",2068,12751.41,0.16445240173439643
73,Dillingham,Alaska,AK,2070,4916,"Dillingham, AK",2070,18568.78,0.2647454490817383
74,Fairbanks North Star,Alaska,AK,2090,96849,"Fairbanks North Star, AK",2090,7338.21,13.197905211216359
75,Haines,Alaska,AK,2100,2530,"Haines, AK",2100,2318.6,1.0911757094798586
76,Juneau,Alaska,AK,2110,31974,"Juneau, AK",2110,2701.93,11.833763272919729
77,Kenai Peninsula,Alaska,AK,2122,58708,"Kenai Peninsula, AK",2122,16075.33,3.652055665420243
78,Ketchikan Gateway,Alaska,AK,2130,13901,"Ketchikan Gateway, AK",2130,4858.41,2.861224145347964
79,Kodiak Island,Alaska,AK,2150,12998,"Kodiak Island, AK",2150,6549.58,1.9845547348074228
80,Lake and Peninsula,Alaska,AK,2164,1592,"Lake and Peninsula, AK",2164,23652.01,0.06730928999268984
81,Matanuska-Susitna,Alaska,AK,2170,108317,"Matanuska-Susitna, AK",2170,24607.9,4.401716521929949
82,Nome,Alaska,AK,2180,10004,"Nome, AK",2180,22961.76,0.4356808885730014
83,North Slope,Alaska,AK,2185,9832,"North Slope, AK",2185,88695.41,0.1108512830596307
84,Northwest Arctic,Alaska,AK,2188,7621,"Northwest Arctic, AK",2188,35572.58,0.21423804514600853
85,Sitka,Alaska,AK,2220,8493,"Sitka, AK",2220,2870.34,2.958882919793474
86,Southeast Fairbanks,Alaska,AK,2240,6893,"Southeast Fairbanks, AK",2240,24768.81,0.2782935474090196
87,Valdez-Cordova,Alaska,AK,2261,9202,"Valdez-Cordova, AK",2261,34239.88,0.2687509418841421
88,Yakutat,Alaska,AK,2282,579,"Yakutat, AK",2282,7649.46,0.0756916174475061
89,Yukon-Koyukuk,Alaska,AK,2290,5230,"Yukon-Koyukuk, AK",2290,145504.79,0.035943833876534236
90,Apache,Arizona,AZ,4001,71887,"Apache, AZ",4001,11197.52,6.419903692960584
91,Cochise,Arizona,AZ,4003,125922,"Cochise, AZ",4003,6165.69,20.423018348311384
92,Coconino,Arizona,AZ,4005,143476,"Coconino, AZ",4005,18618.89,7.705937357167909
93,Gila,Arizona,AZ,4007,54018,"Gila, AZ",4007,4757.93,11.353256563253346
94,Graham,Arizona,AZ,4009,38837,"Graham, AZ",4009,4622.6,8.40154891186778
95,Greenlee,Arizona,AZ,4011,9498,"Greenlee, AZ",4011,1843.13,5.153190496600891
96,La Paz,Arizona,AZ,4012,21108,"La Paz, AZ",4012,4499.63,4.691052375417534
97,Maricopa,Arizona,AZ,4013,4485414,"Maricopa, AZ",4013,9200.14,487.53758094985517
98,Mohave,Arizona,AZ,4015,212181,"Mohave, AZ",4015,13311.08,15.940179159016399
99,Navajo,Arizona,AZ,4017,110924,"Navajo, AZ",4017,9950.42,11.147670148596742
100,Pima,Arizona,AZ,4019,1047279,"Pima, AZ",4019,9187.04,113.99525853811456
101,Pinal,Arizona,AZ,4021,462789,"Pinal, AZ",4021,5365.61,86.25095748666043
102,Santa Cruz,Arizona,AZ,4023,46498,"Santa Cruz, AZ",4023,1236.92,37.591760178507904
103,Yavapai,Arizona,AZ,4025,235099,"Yavapai, AZ",4025,8123.5,28.940604419277406
104,Yuma,Arizona,AZ,4027,213787,"Yuma, AZ",4027,5513.99,38.771742422456335
105,Arkansas,Arkansas,AR,5001,17486,"Arkansas, AR",5001,988.77,17.684598035943647
106,Ashley,Arkansas,AR,5003,19657,"Ashley, AR",5003,925.35,21.242773004808992
107,Baxter,Arkansas,AR,5005,41932,"Baxter, AR",5005,554.28,75.65129537417911
108,Benton,Arkansas,AR,5007,279141,"Benton, AR",5007,847.36,329.42432968277944
109,Boone,Arkansas,AR,5009,37432,"Boone, AR",5009,590.23,63.41934500110126
110,Bradley,Arkansas,AR,5011,10763,"Bradley, AR",5011,649.23,16.57810021101921
111,Calhoun,Arkansas,AR,5013,5189,"Calhoun, AR",5013,628.58,8.255114702981322
112,Carroll,Arkansas,AR,5015,28380,"Carroll, AR",5015,630.09,45.04118459267723
113,Chicot,Arkansas,AR,5017,10118,"Chicot, AR",5017,644.3,15.703864659320194
114,Clark,Arkansas,AR,5019,22320,"Clark, AR",5019,866.07,25.77158890158994
115,Clay,Arkansas,AR,5021,14551,"Clay, AR",5021,639.47,22.754781303266768
116,Cleburne,Arkansas,AR,5023,24919,"Cleburne, AR",5023,553.69,45.00532789105817
117,Cleveland,Arkansas,AR,5025,7956,"Cleveland, AR",5025,597.78,13.309244203553147
118,Columbia,Arkansas,AR,5027,23457,"Columbia, AR",5027,766.05,30.620716663403172
119,Conway,Arkansas,AR,5029,20846,"Conway, AR",5029,552.25,37.74739701222273
120,Craighead,Arkansas,AR,5031,110332,"Craighead, AR",5031,707.21,156.01023741180128
121,Crawford,Arkansas,AR,5033,63257,"Crawford, AR",5033,593.09,106.65666256386045
122,Crittenden,Arkansas,AR,5035,47955,"Crittenden, AR",5035,609.76,78.64569666754133
123,Cross,Arkansas,AR,5037,16419,"Cross, AR",5037,616.38,26.637788377299717
124,Dallas,Arkansas,AR,5039,7009,"Dallas, AR",5039,667.39,10.502105215840812
125,Desha,Arkansas,AR,5041,11361,"Desha, AR",5041,768.15,14.790080062487796
126,Drew,Arkansas,AR,5043,18219,"Drew, AR",5043,828.36,21.994060553382585
127,Faulkner,Arkansas,AR,5045,126007,"Faulkner, AR",5045,647.88,194.4912638142866
128,Franklin,Arkansas,AR,5047,17715,"Franklin, AR",5047,608.86,29.09535853890878
129,Fulton,Arkansas,AR,5049,12477,"Fulton, AR",5049,618.19,20.18311522347498
130,Garland,Arkansas,AR,5051,99386,"Garland, AR",5051,677.78,146.63460119802886
131,Grant,Arkansas,AR,5053,18265,"Grant, AR",5053,631.81,28.909007454772798
132,Greene,Arkansas,AR,5055,45325,"Greene, AR",5055,577.7,78.45767699498009
133,Hempstead,Arkansas,AR,5057,21532,"Hempstead, AR",5057,727.52,29.596437211348142
134,Hot Spring,Arkansas,AR,5059,33771,"Hot Spring, AR",5059,615.2,54.89434330299089
135,Howard,Arkansas,AR,5061,13202,"Howard, AR",5061,588.55,22.431399201427237
136,Independence,Arkansas,AR,5063,37825,"Independence, AR",5063,763.95,49.512402644152104
137,Izard,Arkansas,AR,5065,13629,"Izard, AR",5065,580.58,23.474801061007955
138,Jackson,Arkansas,AR,5067,16719,"Jackson, AR",5067,633.94,26.373158343060854
139,Jefferson,Arkansas,AR,5069,66824,"Jefferson, AR",5069,870.75,76.74303761125466
140,Johnson,Arkansas,AR,5071,26578,"Johnson, AR",5071,659.8,40.28190360715369
141,Lafayette,Arkansas,AR,5073,6624,"Lafayette, AR",5073,528.27,12.539042535067296
142,Lawrence,Arkansas,AR,5075,16406,"Lawrence, AR",5075,587.61,27.91987883119756
143,Lee,Arkansas,AR,5077,8857,"Lee, AR",5077,602.62,14.69748763731705
144,Lincoln,Arkansas,AR,5079,13024,"Lincoln, AR",5079,561.52,23.194187206154723
145,Little River,Arkansas,AR,5081,12259,"Little River, AR",5081,532.25,23.032409581963364
146,Logan,Arkansas,AR,5083,21466,"Logan, AR",5083,708.13,30.31364297515993
147,Lonoke,Arkansas,AR,5085,73309,"Lonoke, AR",5085,770.73,95.11631829564179
148,Madison,Arkansas,AR,5087,16576,"Madison, AR",5087,834.26,19.86910555462326
